DIRE,LINEA,STOP_ID
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) sobre el metrobus,45,20213
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) sobre el metrobus,28,20145
VEDIA 3414,21,1003614
VEDIA 3414,28,1003614
VEDIA 3414,117,1006653
PICO 3599,71,1003358
"PAZ, GRAL. AV. sobre el metrobus",28,15901
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) nan,28,1006973
"COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL) y GUIRALDES, INT. sobre el metrobus",107,20144
CRAMER AV. 4010,151,1003360
CABILDO AV. y SAN ISIDRO LABRADOR AV. sobre el metrobus,133,20421
CABILDO AV. y SAN ISIDRO LABRADOR AV. sobre el metrobus,57,20421
CABILDO AV. y SAN ISIDRO LABRADOR AV. sobre el metrobus,59,20421
CABILDO AV. y SAN ISIDRO LABRADOR AV. sobre el metrobus,60,20421
CABILDO AV. y SAN ISIDRO LABRADOR AV. sobre el metrobus,68,20421
"OBLIGADO RAFAEL, AV.COSTANERA 6581",33,1006968
"OBLIGADO RAFAEL, AV.COSTANERA 6581",45,1006968
"OBLIGADO RAFAEL, AV.COSTANERA 6561",160,1006967
"OBLIGADO RAFAEL, AV.COSTANERA 6561",37,1006967
"LUGONES, LEOPOLDO AV. sobre el metrobus",160,14397
"LUGONES, LEOPOLDO AV. sobre el metrobus",28,14397
"LUGONES, LEOPOLDO AV. sobre el metrobus",37,14397
"OBLIGADO RAFAEL, AV.COSTANERA 6300",33,1006991
"OBLIGADO RAFAEL, AV.COSTANERA 6300",45,1006991
MACHAIN 4716,29,1007293
"AMENABAR y LARRALDE, CRISOLOGO AV. sobre el metrobus",130,1043
"AMENABAR y LARRALDE, CRISOLOGO AV. sobre el metrobus",29,1043
HOLMBERG 4595,130,1003390
HOLMBERG 4595,71,1003390
"OBLIGADO RAFAEL, AV.COSTANERA nan",160,1006993
HOLMBERG y RAMALLO sobre el metrobus,29,1089
NUÑEZ 2510,130,1007299
NUÑEZ 2510,29,1007299
TRONADOR 4326,76,1003385
"ECHEVERRIA y FIGUEROA ALCORTA, PRES. AV. sobre el metrobus",28,1142
MENDOZA 956,107,1002089
"PAZ, GRAL. AV. sobre el metrobus",21,14463
"PAZ, GRAL. AV. sobre el metrobus",28,14463
ECHEVERRIA nan,107,1002078
ECHEVERRIA nan,130,1002078
ECHEVERRIA nan,42,1002078
"OBLIGADO RAFAEL, AV.COSTANERA 4986",33,1001952
"OBLIGADO RAFAEL, AV.COSTANERA 4986",45,1001952
"LARRALDE, CRISOLOGO AV. 3499",29,1006601
ECHEVERRIA nan,42,1002083
"PAZ, GRAL. AV. COLECTORA 4486",28,1004208
"FREIRE, RAMON, CAP. GRAL. y TAMBORINI, JOSE PASCUAL sobre el metrobus",19,1474
NUÑEZ y WASHINGTON sobre el metrobus,130,1480
CONGRESO AV. 2742,175,1002626
BLANCO ENCALADA 2012,107,1007303
"BALBIN, RICARDO, DR. AV. 3308",67,1003342
"BALBIN, RICARDO, DR. AV. 3308",76,1003342
"BALBIN, RICARDO, DR. AV. y PEDRAZA, MANUELA sobre el metrobus",67,1517
"ACHA, MARIANO, GRAL. 3797",41,1006626
"ACHA, MARIANO, GRAL. 3797",93,1006626
ECHEVERRIA 1688,64,1002737
VERTIZ VIRREY AV. nan,60,1002746
"BALBIN, RICARDO, DR. AV. y QUESADA sobre el metrobus",19,1607
VERTIZ VIRREY AV. nan,15,1002734
VERTIZ VIRREY AV. nan,29,1002734
VERTIZ VIRREY AV. nan,42,1002734
VERTIZ VIRREY AV. nan,118,1002751
ARCOS y JURAMENTO AV. sobre el metrobus,114,1649
CONGRESO AV. 3430,169,1003245
CONGRESO AV. 3430,175,1003245
CONGRESO AV. 3430,41,1003245
CABILDO AV. y JURAMENTO AV. sobre el metrobus,194,20761
CABILDO AV. y JURAMENTO AV. sobre el metrobus,57,20761
CONDE 2716,19,1003367
"CAMPOS, LUIS M. AV. y LORETO, VIRREY sobre el metrobus",15,1778
"CAMPOS, LUIS M. AV. y LORETO, VIRREY sobre el metrobus",29,1778
MIGUELETES 1306,42,1002013
MIGUELETES 1306,64,1002013
BUCARELLI y ISLANDIA sobre el metrobus,112,1903
CRAMER AV. 2074,113,1003207
MIGUELETES 1010,64,1002008
DORREGO AV. 3750,160,1001888
DORREGO AV. 3750,34,1001888
BUCARELLI y NUÑEZ sobre el metrobus,110,1947
CONGRESO AV. 4395,169,1003237
CONGRESO AV. 4395,41,1003237
"CAMPOS, LUIS M. AV. 1151",118,1001989
"PAZ, GRAL. AV. sobre el metrobus",21,15956
"PAZ, GRAL. AV. sobre el metrobus",28,15956
SOLDADO DE LA INDEPENDENCIA 893,64,1002002
MENDOZA y SUPERI sobre el metrobus,19,2033
MENDOZA y SUPERI sobre el metrobus,76,2033
ELCANO 2765,168,1002768
ELCANO 2765,184,1002768
SUPERI 1987,19,1002447
DIAZ COLODRERO nan,169,1005214
DIAZ COLODRERO nan,175,1005214
DIAZ COLODRERO nan,71,1005214
MONROE 4383,114,1004780
MONROE 4383,133,1004780
"CAMPOS, LUIS M. AV. 687",118,1001982
"CAMPOS, LUIS M. AV. 687",60,1001982
"OBLIGADO RAFAEL, AV.COSTANERA 1315",33,1006894
"OBLIGADO RAFAEL, AV.COSTANERA 1315",45,1006894
"PAZ, GRAL. AV. COLECTORA nan",21,1007259
"PAZ, GRAL. AV. COLECTORA nan",28,1007259
ZAPIOLA 1514,168,1001758
"BULLRICH, INT. AV. nan",10,1001355
DEL LIBERTADOR AV. 3810,10,1001331
DEL LIBERTADOR AV. 3810,130,1001331
DORREGO AV. nan,160,1001328
"CAMPOS, LUIS M. AV. 495",60,1001976
"CAMPOS, LUIS M. AV. 495",29,1001978
"CAMPOS, LUIS M. AV. 495",59,1001978
"CAMPOS, LUIS M. AV. 495",64,1001978
CORREGIDORES y DE LOS INCAS AV. sobre el metrobus,151,471
CORREGIDORES y DE LOS INCAS AV. sobre el metrobus,184,471
CONGRESO AV. 5489,140,1003220
CONGRESO AV. 5489,169,1003220
"OBLIGADO RAFAEL, AV.COSTANERA 1211",33,1006893
"OBLIGADO RAFAEL, AV.COSTANERA 1211",45,1006893
"CAMPOS, LUIS M. AV. 475",118,1001974
"CAMPOS, LUIS M. AV. 465",59,1002298
"CAMPOS, LUIS M. AV. 465",60,1002298
"FIGUEROA ALCORTA, PRES. AV. nan",130,1001903
DE LOS CONSTITUYENTES AV. 5993,111,1003206
DE LOS CONSTITUYENTES AV. 5993,140,1003206
LA PAMPA 3758,113,1002418
LA PAMPA 3758,76,1002418
"SUCRE, ANTONIO JOSE DE, MCAL. 3991",113,1004641
ALVAREZ THOMAS AV. 2973,176,1005134
ALVAREZ THOMAS AV. 2973,90,1005134
"CAMPOS, LUIS M. AV. 317",118,1001970
"CAMPOS, LUIS M. AV. 317",55,1001970
"CAMPOS, LUIS M. AV. 317",64,1001970
CERETTI y CONGRESO AV. sobre el metrobus,140,2488
CERETTI y CONGRESO AV. sobre el metrobus,169,2488
"FREIRE, RAMON, CAP. GRAL. 1187",151,1001786
"FREIRE, RAMON, CAP. GRAL. 1187",168,1001786
MONROE y TRIUNVIRATO AV. sobre el metrobus,90,2555
CULLEN 5367,175,1005095
BUCARELLI y ROOSEVELT FRANKLIN D. AV. sobre el metrobus,107,2591
BUCARELLI y ROOSEVELT FRANKLIN D. AV. sobre el metrobus,127,2591
CONESA 685,168,1001755
CONESA y OLLEROS sobre el metrobus,168,2625
"CESPEDES y FREIRE, RAMON, CAP. GRAL. sobre el metrobus",184,2629
"FREIRE, RAMON, CAP. GRAL. 989",151,1001761
"FREIRE, RAMON, CAP. GRAL. 989",168,1001761
DEL LIBERTADOR AV. nan,130,1001664
FOREST AV. 1438,44,1002414
FOREST AV. 1438,65,1002414
LA PAMPA 4320,112,1004637
LA PAMPA 4320,113,1004637
LA PAMPA 4320,140,1004637
"LACROZE, FEDERICO AV. 2985",42,1002359
"LACROZE, FEDERICO AV. 2985",63,1002359
DELGADO 1406,80,1002429
DE LOS CONSTITUYENTES AV. 5318,111,1004619
"DELGADO y OLAGUER Y FELIU, VIRREY sobre el metrobus",19,2750
TRIUNVIRATO AV. nan,127,1005042
TRIUNVIRATO AV. nan,71,1005042
SANTA FE AV. 4844,15,1000711
SANTA FE AV. 4844,55,1000711
"ARTIGAS, JOSE GERVASIO, GRAL. 5404",110,1004727
"ARTIGAS, JOSE GERVASIO, GRAL. 5404",175,1004727
"ARTIGAS, JOSE GERVASIO, GRAL. 5397",110,1004725
"ARTIGAS, JOSE GERVASIO, GRAL. 5397",175,1004725
ALVAREZ THOMAS AV. 1245,112,1001787
ALVAREZ THOMAS AV. 1245,140,1001787
ALVAREZ THOMAS AV. 1245,19,1001787
"CASTILLO, RAMON S., PRES. AV. sobre el metrobus",33,14621
"CASTILLO, RAMON S., PRES. AV. sobre el metrobus",45,14621
ALBARELLOS AV. 3033,110,1003214
ALBARELLOS AV. 3033,169,1003214
SANTA FE AV. 4560,67,1000701
SANTA FE AV. 4560,95,1000701
DONADO 1422,112,1003509
DONADO 1422,140,1003509
DONADO 1422,90,1003509
DONADO 1422,93,1003509
"GARCIA, TEODORO 3399",168,1002367
CERVIÑO AV. 3778,128,1000907
CERVIÑO AV. 3778,188,1000907
DARREGUEYRA y SANTA FE AV. sobre el metrobus,111,20783
DARREGUEYRA y SANTA FE AV. sobre el metrobus,12,20783
DARREGUEYRA y SANTA FE AV. sobre el metrobus,15,20783
DARREGUEYRA y SANTA FE AV. sobre el metrobus,29,20783
DARREGUEYRA y SANTA FE AV. sobre el metrobus,95,20783
"ARTIGAS, JOSE GERVASIO, GRAL. 5142",110,1005025
"CASTILLO, RAMON S., PRES. AV. 950",143,1006901
SANTA FE AV. y URIARTE sobre el metrobus,60,20781
SANTA FE AV. y URIARTE sobre el metrobus,93,20781
ALVAREZ THOMAS AV. 618,140,1002390
"PAZ, GRAL. AV. sobre el metrobus",21,15963
"PAZ, GRAL. AV. sobre el metrobus",28,15963
ALVAREZ THOMAS AV. 595,112,1001781
ALVAREZ THOMAS AV. 595,140,1001781
ALVAREZ THOMAS AV. 595,176,1001781
ALVAREZ THOMAS AV. 595,19,1001781
ALVAREZ THOMAS AV. 595,44,1001781
ALVAREZ THOMAS AV. 595,65,1001781
ALVAREZ THOMAS AV. 595,90,1001781
ALVAREZ THOMAS AV. 595,93,1001781
CHARLONE 1332,140,1003627
CHARLONE 1332,176,1003627
CHARLONE 1332,90,1003627
CHARLONE 1304,112,1003628
CHARLONE 1304,112,1003629
CHARLONE 1304,93,1003629
URIARTE 2473,55,1000681
EL SALVADOR 5895,39,1000155
TRIUNVIRATO AV. 3766,127,1003486
TRIUNVIRATO AV. 3766,71,1003486
TRIUNVIRATO AV. 3760,108,1003485
TRIUNVIRATO AV. 3760,176,1003485
DEL LIBERTADOR AV. 2230,102,1001334
DEL LIBERTADOR AV. 2230,130,1001334
DEL LIBERTADOR AV. 2230,67,1001334
LAS HERAS GENERAL AV. nan,41,1000953
LAS HERAS GENERAL AV. nan,59,1000953
LAS HERAS GENERAL AV. nan,128,1000949
LAS HERAS GENERAL AV. nan,60,1000949
FITZ ROY 2016,108,1000896
FITZ ROY 2016,111,1000896
SANTA FE AV. 4138,111,1000651
SANTA FE AV. 4138,29,1000651
LAS HERAS GENERAL AV. 3741,188,1000930
LAS HERAS GENERAL AV. 3741,60,1000930
LAS HERAS GENERAL AV. 3741,95,1000930
"LAS HERAS GENERAL AV. y SALGUERO, JERONIMO sobre el metrobus",59,3259
LADINES 2712,90,1004750
"COUTURE, EDUARDO J. y ROMERO, FRANCISCO sobre el metrobus",130,3335
"COUTURE, EDUARDO J. y ROMERO, FRANCISCO sobre el metrobus",67,3335
"COUTURE, EDUARDO J. y ROMERO, FRANCISCO sobre el metrobus",92,3335
"COUTURE, EDUARDO J. y ROMERO, FRANCISCO sobre el metrobus",93,3335
CHARCAS y THAMES sobre el metrobus,55,3340
LAS HERAS GENERAL AV. 3253,37,1000922
LAS HERAS GENERAL AV. 3253,95,1000922
"SCALABRINI ORTIZ, RAUL 2824",110,1000905
"SCALABRINI ORTIZ, RAUL 2824",160,1000905
SANTA FE AV. 3965,12,1000826
SANTA FE AV. 3965,15,1000826
SANTA FE AV. 3965,36,1000826
"CABRERA, JOSE A. y CARRANZA, ANGEL JUSTINIANO sobre el metrobus",108,3469
DORREGO 1512,108,1000098
LAS HERAS GENERAL AV. 2680,60,1000512
LAS HERAS GENERAL AV. 2680,95,1000512
LAS HERAS GENERAL AV. y TAGLE sobre el metrobus,102,3498
ZAMUDIO 4477,110,1004741
"ARTIGAS, JOSE GERVASIO, GRAL. 4514",110,1004737
"ARTIGAS, JOSE GERVASIO, GRAL. 4514",87,1004737
CORDOBA AV. 5949,39,1000095
"BUCARELLI y VICTORICA, BENJAMIN, GENERAL, AV. sobre el metrobus",123,3565
SANTA FE AV. 3589,12,1000835
"SCALABRINI ORTIZ, RAUL AV. 2418",160,1000786
"SCALABRINI ORTIZ, RAUL AV. 2418",57,1000786
"BONPLAND y VEGA, NICETO, CNEL. AV. sobre el metrobus",108,3665
PUEYRREDON AV. 2434,62,1001005
PUEYRREDON AV. 2434,92,1001005
PUEYRREDON AV. 2434,93,1001005
DE LOS INCAS AV. 5116,123,1003456
DE LOS INCAS AV. 5116,87,1003456
ANTARTIDA ARGENTINA AV. 1285,106,1007015
ANTARTIDA ARGENTINA AV. 1285,132,1007015
ANTARTIDA ARGENTINA AV. 1285,20,1007015
MOSCONI GENERAL AV. 2922,107,1004718
MOSCONI GENERAL AV. 2922,114,1004718
MOSCONI GENERAL AV. 2922,87,1004718
GUZMAN AV. nan,63,1004106
DEL LIBERTADOR AV. nan,67,1000691
DEL LIBERTADOR AV. nan,92,1000691
ELCANO AV. 4373,111,1004186
ELCANO AV. 4373,123,1004186
GODOY CRUZ 1791,34,1000314
GODOY CRUZ 1791,39,1000314
DEL LIBERTADOR AV. 918,124,1000780
DEL LIBERTADOR AV. 918,67,1000780
CALLAO AV. 2057,110,1000638
DE LOS INCAS AV. 5295,123,1003480
DE LOS INCAS AV. 5295,80,1003480
DE LOS INCAS AV. 5293,123,1003481
DE LOS INCAS AV. 5293,80,1003481
DE LOS INCAS AV. 5293,87,1003481
CHORROARIN AV. y COMBATIENTES DE MALVINAS AV. sobre el metrobus,113,68
CORRIENTES AV. 6795,93,1003780
CORRIENTES AV. 6797,108,1003805
"SCALABRINI ORTIZ, RAUL AV. 2102",110,1000603
"SCALABRINI ORTIZ, RAUL AV. 2102",57,1000603
"ARTIGAS, JOSE GERVASIO, GRAL. 4114",110,1004739
"ARTIGAS, JOSE GERVASIO, GRAL. 4114",87,1004739
"PY, COMODORO AV. 2002",26,1006907
AVALOS 991,123,1004153
CANTILO y LAS HERAS GENERAL AV. sobre el metrobus,110,4008
DORREGO AV. 1128,108,1003833
"CORDOBA AV. y JUSTO, JUAN B. AV. sobre el metrobus",166,4014
"SCALABRINI ORTIZ, RAUL AV. 1910",110,1000601
"SCALABRINI ORTIZ, RAUL AV. 1910",141,1000601
"SCALABRINI ORTIZ, RAUL AV. 1910",15,1000601
"CARRIL, SALVADOR MARIA DEL AV. 2693",108,1004670
"CARRIL, SALVADOR MARIA DEL AV. 2693",123,1004670
"DIAZ, CNEL. AV. 1892",111,1000476
"DIAZ, CNEL. AV. 1892",29,1000476
"RAMOS MEJIA, JOSE MARIA, DR. AV. nan",150,1006930
"RAMOS MEJIA, JOSE MARIA, DR. AV. nan",23,1006930
CALLAO AV. 1769,124,1000770
CALLAO AV. 1769,17,1000770
"RAMOS MEJIA, JOSE MARIA, DR. AV. nan",5,1006943
"RAMOS MEJIA, JOSE MARIA, DR. AV. nan",56,1006943
"NICARAGUA y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",57,4121
"CARRIL, SALVADOR MARIA DEL AV. y NAZCA sobre el metrobus",123,14678
"CARRIL, SALVADOR MARIA DEL AV. y NAZCA sobre el metrobus",176,14678
"EL SALVADOR y SCALABRINI ORTIZ, RAUL AV. sobre el metrobus",57,4252
"LOPEZ, VICENTE 1787",102,1000776
"GILARDI, GILARDO nan",6,1006918
LAS HERAS GENERAL AV. 1860,10,1000527
LAS HERAS GENERAL AV. 1860,59,1000527
RODRIGUEZ PEÑA 1610,124,1000531
AGUERO y SANTA FE AV. sobre el metrobus,194,4336
GUZMAN y LEIVA sobre el metrobus,71,4361
GUZMAN y LEIVA sobre el metrobus,76,4361
CORDOBA AV. 4841,140,1000085
BERUTI y PUEYRREDON AV. sobre el metrobus,41,4413
SANTA FE AV. 2789,111,1000132
SANTA FE AV. 2789,39,1000132
"ACUÑA DE FIGUEROA, FRANCISCO 1616",36,1000264
JUNCAL 1351,101,1004571
SAN NICOLAS nan,107,1005537
SAN NICOLAS nan,114,1005537
JUNCAL 867,100,1001726
JUNCAL 867,75,1001726
PARANA 1293,102,1000393
AGUERO y CHARCAS sobre el metrobus,194,4483
SANTA FE AV. 2725,12,1000130
"SCALABRINI ORTIZ, RAUL AV. 1278",141,1000597
"SCALABRINI ORTIZ, RAUL AV. 1278",15,1000597
SANTA FE AV. 2710,12,1000169
SANTA FE AV. 2710,39,1000169
AGUERO 1390,109,1000741
"CAMPANA y CARRIL, SALVADOR MARIA DEL AV. sobre el metrobus",176,4538
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",132,20472
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",22,20472
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",26,20472
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",28,20472
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",6,20472
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",7,20472
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",91,20472
"ALEM, LEANDRO N. AV. y RECONQUISTA sobre el metrobus",93,20472
"NEWBERY, JORGE AV. nan",112,1003854
"NEWBERY, JORGE AV. nan",47,1003854
"ANCHORENA, TOMAS MANUEL DE, DR. y CHARCAS sobre el metrobus",194,4570
"SCALABRINI ORTIZ, RAUL AV. 1062",106,1004021
